drug_id,drug_name,disease_id,disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Human_Studies,Animal_in_vivo_Studies,In_vitro_Studies,Review_Studies,Computational_Studies,Not_specified_Studies,rank,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,has_clinical_trial,clinical_trial_count,clinical_trial_id,additional_trials,search_status,primary_completion_date,study_phase,trial_conditions,trial_status,trial_title
14993,Phenobarbital,99214,cardiomyopathy due to anthracyclines,CompGCN,5,5,0,5,0,,,,,,,18,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14028,Hydrocortisone,99214,cardiomyopathy due to anthracyclines,RLR,117,117,1,111,5,88,9,5,15,0,0,19,0.008547009,0.948717949,0.042735043,Potentially Adverse Effect,Potentially Therapeutic,Yes,4,NCT04425785,"NCT02827799,NCT05793008,NCT05530135",Success - Found and processed details,2023-09-01 (ACTUAL) || 2012-07 (ACTUAL) || 2026-03-02 (ESTIMATED) || 2023-08-31 (ACTUAL),NA || NA || NA || NA,Takotsubo Cardiomyopathy --- Heart Failure; Insomnia; Cardiomyopathy --- Takotsubo Cardiomyopathy; Sepsis-induced Cardiomyopathy --- Takotsubo Cardiomyopathy,COMPLETED || COMPLETED || RECRUITING || COMPLETED,Physical Exercise and Mental Wellbeing Rehabilitation for Acute Stress-induced Takotsubo Cardiomyopathy: The PLEASE Study || Cognitive Behavioral Therapy for Insomnia in Stable Heart Failure || Characterization of priMary And sEcondary STress Related takOtsubo || Life-style Interventions for Modulating the Brain Phenotype of Takotsubo Cardiomyopathy
14141,Phenytoin,99214,cardiomyopathy due to anthracyclines,CompGCN,7,7,1,6,0,,,,,,,19,0.142857143,0.857142857,0,Potentially Therapeutic,Potentially Therapeutic,No,0,,,No trials found,,,,,
14320,Dexamethasone,99214,cardiomyopathy due to anthracyclines,RLR,200,200,7,176,17,124,34,6,24,6,6,20,0.035,0.88,0.085,Potentially Adverse Effect,Potentially Therapeutic,Yes,1,NCT03044353,,Success - Found and processed details,2019-01-03 (ACTUAL),PHASE2,Amyloidosis,TERMINATED,Multiple Treatment Session Study to Assess GSK2398852 Administered Following and Along With GSK2315698
14940,Lidocaine,99214,cardiomyopathy due to anthracyclines,CompGCN,65,65,0,61,4,,,,,,,20,0,0.938461538,0.061538462,Potentially Adverse Effect,No Positive Sign,Yes,2,NCT06138873,NCT02506335,Success - Found and processed details,2026-11-23 (ESTIMATED) || 2018-05-01 (ACTUAL),NA || EARLY_PHASE1,Ventricular Tachycardia; Ischemic Cardiomyopathy --- Liver Disease; Cardiovascular Disease,RECRUITING || COMPLETED,Ablation-Index Guided Scar-Mediated Ventricular Tachycardia Ablation in Patients With Ischemic Cardiomyopathy || Liver Function Measured by HepQuant-SHUNT in the Prediction of Outcomes in Patients With Heart Disease
14030,Prednisolone,99214,cardiomyopathy due to anthracyclines,RLR,200,200,1,191,8,176,12,0,9,1,2,21,0.005,0.955,0.04,Potentially Adverse Effect,Potentially Therapeutic,Yes,7,NCT04467411,"NCT05237323,NCT06220032,NCT05961202,NCT06483802,NCT05570409,NCT03633565",Success - Found and processed details,2030-08-30 (ESTIMATED) || 2025-07-10 (ACTUAL) || 2028-12-15 (ESTIMATED) || 2024-09-01 (ACTUAL) || 2025-10-22 (ACTUAL) || 2025-04-14 (ACTUAL) || 2021-09 (ESTIMATED),Unknown || PHASE3 || PHASE3 || PHASE2 || PHASE1 || PHASE2 || PHASE4,Breast Cancer --- Lymphocytic Myocarditis (Disorder); Heart Failure; Dilated Cardiomyopathy; Cardiomyopathies; Sudden Cardiac Death --- DLBCL - Diffuse Large B Cell Lymphoma --- Inflammatory Cardiomyopathy; Myocarditis --- Friedreich Ataxia; Cardiomyopathy --- Inflammatory Cardiomyopathy --- Myopathy,RECRUITING || COMPLETED || RECRUITING || RECRUITING || WITHDRAWN || TERMINATED || UNKNOWN,The EMBRACE Study The EMBRACE Study || Micophenolate Mofetil Versus Azathioprine in Myocarditis || Prevention of Anthracycline-Induced Cardiac Dysfunction With Dexrazoxane in Patients With Diffuse Large-B Cell Lymphoma || The Effects of Hydroxychloroquine in Patients with Inflammatory Cardiomyopathy || A Study of ASP2016 in Adults Who Have Heart Disease Associated With Friedreich Ataxia || Immunosuppressive Treatment in Chronic Virus-Negative Inflammatory Cardiomyopathy || Comparative Study of Strategies for Management of Duchenne Myopathy (DM)
14794,Dasatinib,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,1,10,0,,,,,,,21,0.090909091,0.909090909,0,Potentially Therapeutic,Potentially Therapeutic,No,0,,,No trials found,,,,,
15003,Cortisone acetate,99214,cardiomyopathy due to anthracyclines,RLR,3,3,0,3,0,3,0,0,0,0,0,22,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
16352,Norepinephrine,99214,cardiomyopathy due to anthracyclines,TxGNN,200,200,0,189,11,,,,,,,22,0,0.945,0.055,Potentially Adverse Effect,No Positive Sign,Yes,5,NCT07286643,"NCT03772990,NCT02640846,NCT06800716,NCT01524861",Success - Found and processed details,2028-08-30 (ESTIMATED) || 2025-07-13 (ACTUAL) || 2019-01 (ESTIMATED) || 2026-11 (ESTIMATED) || 2015-12 (ACTUAL),NA || PHASE4 || PHASE4 || Unknown || PHASE4,"Cirrhosis, Liver; Cirrhotic Cardiomyopathy; Septic Shock --- Cardiac Surgery; Cardiopulmonary Bypass --- Septic Shock; Cardiomyopathy --- Heart Failure; Cardiomyopathy --- Apical Ballooning Syndrome; Nervous System Diseases, Sympathetic",RECRUITING || COMPLETED || UNKNOWN || RECRUITING || COMPLETED,"Echocardiography-guided Cirrhosis and Liver Failure-Intensive Care Protocol Sepsis || Calcium Administration in Cardiac Surgery || Effects of Levosimendan, Milrinone and Norepinephrine on Left and Right Ventricular Function in Septic Shock || Impella Reverse Remodeling in End-Stage Heart Failure || Sympathetic Heart Innervation in Patients With Tako-Tsubo Cardiomyopathy"
14784,Theophylline,99214,cardiomyopathy due to anthracyclines,CompGCN,13,13,0,12,1,,,,,,,22,0,0.923076923,0.076923077,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
