drug_id,drug_name,disease_id,disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Human_Studies,Animal_in_vivo_Studies,In_vitro_Studies,Review_Studies,Computational_Studies,Not_specified_Studies,rank,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,has_clinical_trial,clinical_trial_count,clinical_trial_id,additional_trials,search_status,primary_completion_date,study_phase,trial_conditions,trial_status,trial_title
14153,Valproic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,28,28,0,23,5,,,,,,,43,0,0.821428571,0.178571429,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
15739,Ivosidenib,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,44,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14184,Ritonavir,99214,cardiomyopathy due to anthracyclines,CompGCN,12,12,0,8,4,,,,,,,44,0,0.666666667,0.333333333,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
16347,Ferrous fumarate,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,,,,,,,45,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14667,Risedronic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,,,,,,,46,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
16028,Eribulin,99214,cardiomyopathy due to anthracyclines,TxGNN,2,2,0,2,0,,,,,,,47,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15205,Pazopanib,99214,cardiomyopathy due to anthracyclines,CompGCN,8,8,0,1,7,,,,,,,47,0,0.125,0.875,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
20457,Ozagrel,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,48,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
18790,N-Acetylmethionine,99214,cardiomyopathy due to anthracyclines,RLR,2,2,0,2,0,2,0,0,0,0,0,49,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14320,Dexamethasone,99214,cardiomyopathy due to anthracyclines,CompGCN,115,115,1,103,11,,,,,,,49,0.008695652,0.895652174,0.095652174,Potentially Adverse Effect,Potentially Therapeutic,Yes,1,NCT03044353,,Success - Found and processed details,2019-01-03 (ACTUAL),PHASE2,Amyloidosis,TERMINATED,Multiple Treatment Session Study to Assess GSK2398852 Administered Following and Along With GSK2315698
14399,Ticagrelor,99214,cardiomyopathy due to anthracyclines,TxGNN,13,13,0,13,0,,,,,,,49,0,1,0,Neutral Relation,No Positive Sign,Yes,1,NCT07349979,,Success - Found and processed details,2028-01-30 (ESTIMATED),NA,Heart Failure With Reduced Ejection Fraction; Coronary Artery Disease,NOT_YET_RECRUITING,PCI With Guideline-Directed Medical Therapy for HFpEF Patients With Ischemic Cardiomyopathy
16330,N-Acetylglucosamine,99214,cardiomyopathy due to anthracyclines,RLR,71,71,1,68,2,7,36,8,14,2,4,50,0.014084507,0.957746479,0.028169014,Potentially Adverse Effect,Potentially Therapeutic,No,0,,,No trials found,,,,,
14302,Amiodarone,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,0,185,15,,,,,,,50,0,0.925,0.075,Potentially Adverse Effect,No Positive Sign,Yes,17,NCT06138873,"NCT03193749,NCT05549752,NCT04239144,NCT01058837,NCT03685149,NCT00721032,NCT03228823,NCT07238452,NCT01181414,NCT00821353,NCT01722942,NCT04308031,NCT01566344,NCT03244748,NCT05524077,NCT03734562",Success - Found and processed details,2026-11-23 (ESTIMATED) || 2020-06 (ESTIMATED) || 2025-12-30 (ESTIMATED) || 2025-11-18 (ACTUAL) || 2011-08 (ESTIMATED) || 2022-07-31 (ACTUAL) || 2015-08 (ESTIMATED) || 2021-08-31 (ESTIMATED) || 2032-12-01 (ESTIMATED) || 2014-11 (ACTUAL) || 2012-06 (ACTUAL) || 2022-07-31 (ESTIMATED) || 2020-12-31 (ESTIMATED) || 2016-09 (ESTIMATED) || 2018-01-01 (ESTIMATED) || 2026-06-30 (ESTIMATED) || 2017-09-29 (ACTUAL),NA || PHASE3 || PHASE3 || NA || Unknown || PHASE2 || NA || PHASE4 || PHASE4 || PHASE4 || PHASE3 || NA || PHASE3 || NA || Unknown || NA || NA,"Ventricular Tachycardia; Ischemic Cardiomyopathy --- Chagas Cardiomyopathy --- Atrial Fibrillation Paroxysmal; Coronary Artery Disease Without Residual Ischemia --- Chagas Cardiomyopathy; Ventricular Arrythmia --- Left Ventricular Systolic Dysfunction; Congestive Heart Failure; Ischemic and Non-ischemic Cardiomyopathy; Sudden Cardiac Death Primary Prevention --- Arrhythmogenic Right Ventricular Cardiomyopathy --- Ventricular Tachycardia --- Ventricular Premature Beats, Contractions, or Systoles; Cardiomyopathies --- Heart Failure With Reduced Ejection Fraction; Atrial Fibrillation (AF) --- Chronic Heart Failure; Cardiomyopathy, Dilated; Atrial Fibrillation --- Atrial Fibrillation; Hypertrophic Cardiomyopathy --- Chagas Cardiomyopathy; Non-sustained Ventricular Tachycardia; At Least 10 Points in Rassi Risk Score for Death --- Atrial Fibrillation; Ivabradine; Heart Failure --- Heart Diseases; Cardiac Arrhythmias; Ventricular Premature Complexes; Systolic Heart Failure; Cardiomyopathies --- Ischemic Cardiomyopathy; Ventricular Tachycardia; ICD Shock --- Heart Disease Structural Disorder; Ventricular Tachycardia; Cardiomyopathy, Dilated; Sarcoidosis; Cardiomyopathy, Hypertrophic; Cardiomyopathy Ischemic; Cardiomyopathy, Familial; Arrhythmogenic Right Ventricular Cardiomyopathy 1; Arrhythmogenic Left Ventricular Cardiomyopathy --- Monomorphic Ventricular Tachycardia",RECRUITING || UNKNOWN || RECRUITING || COMPLETED || UNKNOWN || COMPLETED || WITHDRAWN || UNKNOWN || NOT_YET_RECRUITING || COMPLETED || COMPLETED || UNKNOWN || UNKNOWN || UNKNOWN || UNKNOWN || RECRUITING || COMPLETED,"Ablation-Index Guided Scar-Mediated Ventricular Tachycardia Ablation in Patients With Ischemic Cardiomyopathy || A Trial Testing Amiodarone in Chagas Cardiomiopathy || Flecainide Versus Amiodarone in the Cardioversion of Paroxysmal Atrial Fibrillation at the Emergency Department, in Patients With Coronary Artery Disease Without Residual Ischemia || Sympathetic Denervation by Video-assisted Thoracoscopy in Control of Cardiac Arrhythmias in Patients With Chagas Disease || SCD-HeFT 10 Year Follow-up || Pilot Randomized Trial With Flecainide in ARVC Patients || Anti-arrhythmic Medication v. MRI-Merge Ablation in the Treatment of Ventricular Tachycardia || Prospective Assessment of Premature Ventricular Contractions Suppression in Cardiomyopathy(PAPS) || Optimising Pacing Therapy, Integrated Medical Therapy, and Catheter AbLation for Atrial Fibrillation in Heart Failure Trial || Spanish Atrial Fibrillation And Resynchronization Study || Antiarrhythmic Therapy Versus Catheter Ablation for Atrial Fibrillation in Hypertrophic Cardiomyopathy || Amiodarone Against ICD Therapy in Chagas Cardiomyopathy for Primary Prevention of Death || Efficacy of Ivabradine in Patient With Both Persistent Atrial Fibrillation and Heart Failure With Reduce Ejection Fraction || Reversal of Cardiomyopathy by Suppression of Frequent Premature Ventricular Complexes || Amiodarone Usage After Ischemic Ventricular Tachycardia Ablation || Catheter Ablation Versus Anti-arrhythmic Drugs for Ventricular Tachycardia || Trial to Evaluate the Efficacy and Safety of Substrate Ablation of Monomorphic Ventricular Tachycardia"
14784,Theophylline,99214,cardiomyopathy due to anthracyclines,TxGNN,13,13,0,12,1,,,,,,,50,0,0.923076923,0.076923077,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
